#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
88,TechRam @UC3gu7p27dis86qsoizzMgMg,2M,-,Philippines,,609K,TechRam,2650000,855317681,3635
89,Mother Kween Vlogs @UCiTDvMpAjg1d9SLwqMJGW7w,2M,0.10%,Philippines,,606K,Mother Kween Vlogs,1990000,55665504,313
90,RENE JAY @UClGEuBrz0PIx4sJ5kyyGCKg,2M,-,Philippines,,603K,RENE JAY,2000000,122779720,561
91,Chad Kinis @UCh-XedTkeCPbf2Io-EMw6SA,2M,0.60%,Philippines,,603K,Chad Kinis,2230000,196826850,466
92,Rainimator @UCIGl_6GmKR7fPRBBDDRcR0Q,2M,-,Philippines,,600K,Rainimator,2320000,571168462,55
93,Pinoy Music Lover @UC0bF-pPBzm_Xu0q3fc16buQ,2M,-,Philippines,Music,597K,Pinoy Music Lover,2450000,606643462,1320
94,Idol Philippines @UChrqw3SxABVBY9JFQVTZxOw,2M,0.10%,Philippines,,588K,Idol Philippines,2440000,805130508,1498
95,Win YT @UCYft-5-veqg3cVAz-bObfoQ,2M,-,Philippines,,585K,Win YT,2170000,165147236,521
96,Panty Droppaz League @UCjuiUoq_kGqsMFSQom1lvVQ,1.9M,45%,Philippines,,582K,Panty Droppaz League,2200000,1100644380,38
97,Lyca Gairanod @UC6rupOQe1pOhTUjsr9yNtug,1.9M,0.30%,Philippines,,582K,Lyca Gairanod,2070000,100247945,241
98,ML DiscipleGaming @UC8PyCBXwHDIZqZo-eQ-BYzg,1.9M,-,Philippines,,576K,ML DiscipleGaming,1900000,232989464,663
99,Charoot XD @UC2cIYunQXWEoUDpOOTu3SaA,1.9M,-,Philippines,,573K,Charoot XD,2880000,551817917,65
100,KYO QUIJANO @UC9V7uyaVnldZ6gnwtdLnZIA,1.9M,0.20%,Philippines,,573K,KYO QUIJANO,1880000,94405549,380
